frame_idx,V_raw_onnx,V_filtered_onnx,conf_onnx,t_infer_onnx,t_total_onnx,V_raw_torch,V_filtered_torch,conf_torch,t_infer_torch,t_total_torch,raw_diff,filtered_diff
20,2.68093666745354,2.6344003677368164,0.4,12.917757034301758,14.471769332885742,2.68093666745354,2.632966995239258,0.4,11.681556701660156,13.464927673339844,0.0,0.0014333724975585938
21,2.6229916947135488,2.657365322113037,0.385,13.667106628417969,15.67983627319336,2.609134044243871,2.6544241905212402,0.3875,11.703968048095703,13.525724411010742,0.013857650469677907,0.002941131591796875
22,2.703969262404132,2.6869590282440186,0.3875,13.282060623168945,15.404462814331055,2.703969262404132,2.6842551231384277,0.3875,11.598348617553711,13.40174674987793,0.0,0.0027039051055908203
23,2.6747614999729032,2.7097954750061035,0.3775,13.330936431884766,15.719890594482422,2.6747614999729032,2.707315683364868,0.3775,11.73853874206543,13.565301895141602,0.0,0.0024797916412353516
24,2.609896865036784,2.7223641872406006,0.3825,13.340950012207031,15.200376510620117,2.609896865036784,2.720095157623291,0.3825,12.004375457763672,13.769149780273438,0.0,0.0022690296173095703
25,2.4839952385991073,2.7186882495880127,0.2775,12.816667556762695,14.486074447631836,2.4839952385991073,2.716616153717041,0.2775,11.538267135620117,13.312101364135742,0.0,0.0020720958709716797
26,2.4622449397760784,2.712001085281372,0.28,13.404130935668945,15.362024307250977,2.4622449397760784,2.7101125717163086,0.28,11.682510375976562,13.515949249267578,0.0,0.0018885135650634766
27,2.516961138805008,2.711122989654541,0.3025,13.329505920410156,15.386581420898438,2.523539658951941,2.7101311683654785,0.3025,11.62409782409668,13.380765914916992,0.006578520146932831,0.0009918212890625
28,2.445703877563823,2.7019057273864746,0.2925,13.42630386352539,15.391111373901367,2.4474069441487867,2.7012104988098145,0.2925,11.666297912597656,13.652563095092773,0.001703066584963775,0.0006952285766601562
29,2.4676489948674725,2.695173978805542,0.295,13.326168060302734,15.372514724731445,2.4676489948674725,2.6945698261260986,0.295,11.505603790283203,13.280153274536133,0.0,0.0006041526794433594
30,2.58434146166309,2.7007174491882324,0.4175,12.78829574584961,14.26386833190918,2.585004401774592,2.7002663612365723,0.42,11.509895324707031,13.251304626464844,0.0006629401115016975,0.00045108795166015625
31,2.643509143344909,2.711470365524292,0.44,13.288736343383789,15.30146598815918,2.643509143344909,2.7110910415649414,0.44,11.531829833984375,13.309478759765625,0.0,0.00037932395935058594
32,2.655474172949873,2.7221686840057373,0.4375,13.366460800170898,15.29836654663086,2.655474172949873,2.7218551635742188,0.4375,11.466264724731445,13.261079788208008,0.0,0.0003135204315185547
33,2.6299466587575475,2.729095458984375,0.4475,13.27371597290039,15.193939208984375,2.6299466587575475,2.728841781616211,0.4475,11.46841049194336,13.259649276733398,0.0,0.0002536773681640625
34,2.6446570138032524,2.736560344696045,0.445,13.308048248291016,15.383243560791016,2.649252173127469,2.7368106842041016,0.445,11.694908142089844,13.491153717041016,0.004595159324216613,0.0002503395080566406
